host_is_superhost,bathrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,log_price,room_type_Private room,room_type_Shared room,distance_to_cbd
0,1.0,4.0,3,28,94.0,1,1,4.718498871295094,False,False,26.112984177868736
0,1.0,1.0,1,59,93.0,1,1,4.394449154672439,False,False,4.131075269724056
1,1.0,2.0,2,14,100.0,0,1,5.017279836814924,False,False,4.74461442373412
0,1.0,1.0,1,39,97.0,0,50,4.836281906951478,False,False,9.510194991437476
0,1.0,2.0,3,7,97.0,1,1,4.382026634673881,False,False,1.1950786184183042
0,1.0,1.0,1,4,90.0,0,3,5.627621113690637,False,False,25.806077415017093
0,1.0,1.0,2,2,100.0,1,1,4.110873864173311,True,False,7.167259050686075
1,1.0,1.0,1,2,90.0,1,22,4.624972813284271,False,False,3.8204780636760622
1,1.0,1.0,4,95,98.0,1,1,4.330733340286331,True,False,1.1795691202191045
0,1.0,1.0,1,100,94.0,0,7,3.713572066704308,True,False,15.99710603485909
0,1.0,1.0,1,5,100.0,0,4,3.871201010907891,True,False,12.654850508893627
0,1.0,3.0,1,17,92.0,1,21,4.867534450455582,False,False,0.8267525823159572
1,1.0,2.0,1,13,97.0,0,4,5.017279836814924,False,False,0.6554755555812979
1,2.0,3.0,3,153,98.0,1,3,5.278114659230517,False,False,3.9097386544363943
0,2.0,1.0,2,1,100.0,0,2,4.02535169073515,True,False,17.51499044076681
0,1.0,2.0,2,20,92.0,0,1,5.298317366548036,False,False,2.602893569485177
0,2.5,3.0,3,31,98.0,0,1,5.857933154483459,False,False,7.082069933227277
0,1.0,1.0,1,49,96.0,0,1,4.51085950651685,True,False,1.5052540306375684
0,1.0,1.0,1,1,100.0,1,31,5.043425116919247,False,False,1.5335294375292832
1,1.0,2.0,1,7,89.0,1,38,6.396929655216146,False,False,0.5772590557294667
1,1.0,3.0,3,21,92.0,0,20,5.075173815233827,False,False,2.9176283393731577
0,1.0,4.0,1,1,100.0,0,2,4.700480365792417,False,False,0.42212064561316487
0,1.0,1.0,3,10,100.0,0,1,4.143134726391533,True,False,43.17853437856902
1,1.0,1.0,2,33,100.0,0,1,4.574710978503383,False,False,15.202606498385254
0,1.0,4.0,1,20,83.0,0,1,4.700480365792417,False,False,16.08913061127916
0,1.0,1.0,1,200,92.0,0,7,5.087596335232384,False,False,0.7728378029109714
1,1.0,2.0,4,17,98.0,0,4,5.017279836814924,False,False,2.9399610067449324
0,1.0,3.0,2,2,100.0,1,2,4.948759890378168,True,False,32.092259736041335
0,2.0,3.0,2,8,98.0,0,2,4.574710978503383,False,False,6.275709336506144
1,2.0,4.0,3,7,97.0,1,5,4.983606621708336,False,False,1.088880856818984
0,3.0,5.0,7,13,98.0,1,1,5.771441123130016,False,False,1.4996484435224149
0,1.0,1.0,2,14,99.0,0,1,4.394449154672439,True,False,53.384772903761444
1,1.5,1.0,2,48,98.0,0,2,4.248495242049359,True,False,4.216341390242682
0,1.5,1.0,3,45,96.0,0,2,4.867534450455582,False,False,6.485958104534358
0,1.0,3.0,1,5,84.0,1,40,5.087596335232384,False,False,0.9448953357756209
0,1.5,3.0,2,46,92.0,0,1,4.61512051684126,False,False,20.007944983666984
0,1.0,1.0,2,10,90.0,1,50,4.51085950651685,False,False,4.227641274084413
0,1.0,6.0,2,38,96.0,0,2,5.017279836814924,False,False,27.868200161098166
0,1.0,2.0,1,29,90.0,1,50,5.017279836814924,False,False,6.504183315644095
1,2.0,3.0,2,48,92.0,0,13,5.087596335232384,False,False,1.3830676479927049
0,1.5,1.0,4,1,100.0,0,1,4.110873864173311,True,False,0.6449023570851952
0,1.0,1.0,1,1,80.0,0,1,4.330733340286331,False,False,5.742066007662116
0,1.0,1.0,5,1,100.0,0,1,4.23410650459726,True,False,14.06833463642791
0,1.0,2.0,1,1,60.0,0,1,4.442651256490317,False,False,5.951719084749452
0,1.0,1.0,1,1,100.0,1,5,4.77912349311153,False,False,8.505785522818018
0,1.0,1.0,2,2,100.0,0,1,5.529429087511423,False,False,2.5210029140178927
1,1.0,2.0,2,46,98.0,0,1,4.653960350157523,False,False,10.067732869802532
1,1.0,1.0,2,8,100.0,1,4,4.02535169073515,True,False,3.788622174309525
0,1.0,1.0,2,7,100.0,0,1,3.9318256327243257,True,False,4.195773888937927
1,1.0,1.0,2,118,99.0,0,1,4.74493212836325,False,False,4.45403108004219
0,2.0,1.0,1,7,80.0,1,2,4.499809670330265,True,False,3.1146267316957332
0,1.0,2.0,3,8,98.0,0,1,4.394449154672439,False,False,6.250981331723553
0,1.0,1.0,2,2,90.0,0,2,4.6913478822291435,True,False,19.568134907857875
